tag,count,frequency (%)
javascript,3919,3.4779599045091896
python,3576,3.173560760021654
java,3434,3.0475412891259395
c#,2742,2.4334182337749932
android,2450,2.1742796034823972
html,1743,1.5468446321917626
git,1672,1.4838348967439055
css,1385,1.2291335717645389
jquery,1378,1.2229213443260178
c++,1359,1.206059584135746
ios,1247,1.1066639451194078
.net,1199,1.0640658141124058
php,1152,1.0223551441680496
string,1027,0.9114225113373151
sql,975,0.8652745360797295
mysql,787,0.6984318563023048
node.js,742,0.6584961084832403
bash,742,0.6584961084832403
arrays,684,0.6070233668497795
c,677,0.6008111394112584
linux,673,0.5972612951606748
objective-c,645,0.5724123854065902
sql-server,615,0.545788553527214
ruby,560,0.49697819508169083
swift,489,0.4339684596338335
json,484,0.42953115432060424
shell,455,0.40379478350387377
ruby-on-rails,454,0.4029073224412279
iphone,448,0.3975825560653527
angularjs,434,0.38515810118831034
list,403,0.3576468082462882
windows,396,0.35143458080776707
xcode,396,0.35143458080776707
regex,391,0.3469972754945377
r,380,0.33723520380543304
visual-studio,379,0.33634774274278717
performance,375,0.33279789849220365
asp.net,371,0.3292480542416201
database,358,0.31771106042722375
macos,356,0.315936138301932
asp.net-mvc,333,0.29552453386107685
eclipse,332,0.294637072798431
django,329,0.29197468961049333
github,314,0.2786627736708052
datetime,292,0.25913863029259593
angular,287,0.25470132497936654
unix,284,0.25203894179142894
postgresql,283,0.251151480728783
vim,280,0.24848909754084542
reactjs,279,0.24760163647819952
pandas,271,0.2405019479770325
algorithm,268,0.2378395647890949
multithreading,267,0.236952103726449
date,257,0.22807749309999023
dictionary,256,0.2271900320373444
http,256,0.2271900320373444
file,248,0.22009034353617737
tsql,245,0.21742796034823972
cocoa-touch,241,0.21387811609765622
docker,238,0.2112157329097186
android-studio,238,0.2112157329097186
typescript,231,0.20500350547119744
unit-testing,230,0.2041160444085516
command-line,229,0.2032285833459057
twitter-bootstrap,225,0.1996787390953222
oop,218,0.19346651165680107
google-chrome,216,0.1916915895315093
version-control,214,0.18991666740621754
xml,213,0.18902920634357168
syntax,213,0.18902920634357168
debugging,204,0.1810420567797588
intellij-idea,199,0.1766047514665294
dataframe,197,0.17482982934123764
c++11,194,0.1721674461533
ajax,193,0.17127998509065415
linq,190,0.16861760190271652
python-3.x,190,0.16861760190271652
rest,189,0.16773014084007065
wpf,185,0.16418029658948713
spring,180,0.15974299127625777
npm,178,0.157968069150966
language-agnostic,174,0.1544182249003825
exception,173,0.15353076383773662
numpy,173,0.15353076383773662
mongodb,172,0.15264330277509075
function,172,0.15264330277509075
sorting,169,0.14998091958715312
object,167,0.14820599746186136
collections,165,0.14643107533656963
go,162,0.14376869214863197
generics,162,0.14376869214863197
scala,161,0.1428812310859861
class,160,0.14199377002334024
forms,158,0.14021884789804848
android-layout,158,0.14021884789804848
maven,157,0.1393313868354026
security,156,0.13844392577275672
gradle,155,0.13755646471011085
url,152,0.13489408152217322
image,152,0.13489408152217322
types,148,0.13134423727158973
java-8,145,0.1286818540836521
dom,144,0.1277943930210062
svn,140,0.12424454877042271
entity-framework,136,0.1206947045198392
variables,135,0.11980724345719332
matplotlib,135,0.11980724345719332
sql-server-2008,134,0.11891978239454745
logging,132,0.11714486026925569
express,131,0.11625739920660982
enums,130,0.11536993814396394
ubuntu,128,0.1135950160186722
batch-file,125,0.11093263283073457
design-patterns,124,0.11004517176808869
random,121,0.10738278858015106
ssh,119,0.1056078664548593
loops,119,0.1056078664548593
gcc,118,0.10472040539221343
ecmascript-6,116,0.10294548326692167
pip,116,0.10294548326692167
inheritance,115,0.1020580222042758
